"species","common_name","sci_name","phylo_name","Bmass","logBm","social_monogamy","nbrood","avgbrood","avgsire","pmult","pred_pmult","resid_pmult","mean.q","mean.nmates","taxa"
"African wild dog, Lycaon pictus","African wild dog","Lycaon pictus","Lycaon_pictus",21999.9,4.342,"mono",6,4.2,1.2,0.167,0.649613802,0.482613802,0.37408225,5.017376667,"mammal"
"Agile antechinus, Antechinus agilis","Agile antechinus","Antechinus agilis","Antechinus_agilis",22.13,1.345,"xmono",47,7.7,2.8,0.978,0.748733815,-0.229266185,0.364006221,8.76619234,"mammal"
"Alpine marmot, Marmota marmota","Alpine marmot","Marmota marmota","Marmota_marmota",4059.15,3.608,"mono",68,3.5,1.3,0.265,0.627298889,0.362298889,0.445718613,4.876712647,"mammal"
"American black bear, Ursus americanus","American black bear","Ursus americanus","Ursus_americanus",110500,5.043,"xmono",5,2.4,1.2,0.2,0.50916519,0.30916519,0.523831673,4.125142,"mammal"
"American mink, Neovison vison","American mink","Neovison vison","Neovison_vison",1075,3.031,"xmono",5,3.6,1.6,0.6,0.631156774,0.031156774,0.461333189,4.5301,"mammal"
"Arctic fox, Vulpes lagopus","Arctic fox","Vulpes lagopus","Vulpes_lagopus",3584.37,3.554,"mono",8,5.4,1.1,0.125,0.707363622,0.582363622,0.302528787,6.659855,"mammal"
"Asian lesser wihte-toothed shrew, Crocidura shantungensis","Asian lesser wihte-toothed shrew","Crocidura shantungensis","Crocidura_shantungensis",9.5,0.978,"xmono",18,3,1.3,0.277,0.595509576,0.318509576,0.470729702,4.556243333,"mammal"
"Big brown bat, Eptesicus fuscus","Big brown bat","Eptesicus fuscus","Eptesicus_fuscus",17.49,1.243,"xmono",26,2,1.5,0.462,0.424142339,-0.037857661,0.597229473,3.625888462,"mammal"
"Big-eared woodrat, Neotoma macrotis","Big-eared woodrat","Neotoma macrotis","Neotoma_macrotis",225.74,2.354,"xmono",25,2.2,1.2,0.2,0.46936558,0.26936558,0.563819596,3.6666484,"mammal"
"Brandt's vole, Lasiopodomys brandtii","Brandt's vole","Lasiopodomys brandtii","Lasiopodomys_brandtii",40,1.602,"xmono",27,7.1,1.5,0.458,0.748856002,0.290856002,0.263782657,8.247455556,"mammal"
"Brazilian guinea pig, Cavia aperea","Brazilian guinea pig","Cavia aperea","Cavia_aperea",524.38,2.72,"xmono",15,3.9,1.3,0.267,0.642354886,0.375354886,0.399568065,5.282480667,"mammal"
"Brown bear, Ursus arctos","Brown bear","Ursus arctos","Ursus_arctos",196287.5,5.293,"xmono",69,2,1.1,0.145,0.424142339,0.279142339,0.563201011,3.436505072,"mammal"
"Canyon mouse, Peromyscus crinitus","Canyon mouse","Peromyscus crinitus","Peromyscus_crinitus",17,1.23,"xmono",10,3.8,1.2,0.2,0.639265794,0.439265794,0.388777092,4.89114,"mammal"
"Cape dune mole rat, Bathyergus suillus","Cape dune mole rat","Bathyergus suillus","Bathyergus_suillus",777.38,2.891,"xmono",19,2.7,1.3,0.263,0.557999208,0.294999208,0.553143233,3.989382632,"mammal"
"Cheetah, Acinonyx jubatus","Cheetah","Acinonyx jubatus","Acinonyx_jubatus",50577.92,4.704,"xmono",23,3,1.5,0.435,0.595509576,0.160509576,0.471453404,4.617416522,"mammal"
"Columbian ground squirrel, Urocitellus columbianus","Columbian ground squirrel","Urocitellus columbianus","Urocitellus_columbianus",576,2.76,"xmono",29,2.8,1.9,0.724,0.571575758,-0.152424242,0.548967813,4.472231392,"mammal"
"Columbian ground squirrel, Urocitellus columbianus","Columbian ground squirrel","Urocitellus columbianus","Urocitellus_columbianus",576,2.76,"xmono",147,3,1.8,0.578,0.595509576,0.017509576,0.548967813,4.472231392,"mammal"
"Domestic cat, Felis catus","Domestic cat","Felis catus","Felis_catus",2884.8,3.46,"xmono",92,3.8,1.8,0.554,0.639265794,0.085265794,0.4711117,5.246352935,"mammal"
"Eastern chipmunk, Tamias striatus","Eastern chipmunk","Tamias striatus","Tamias_striatus",93.4,1.97,"xmono",43,2.8,2.5,0.86,0.571575758,-0.288424242,0.623857545,4.620001163,"mammal"
"Eastern red bat, Lasiurus borealis","Eastern red bat","Lasiurus borealis","Lasiurus_borealis",10,1,"xmono",31,3.1,1.9,0.71,0.605261727,-0.104738273,0.564427052,4.566897097,"mammal"
"Ermine, Mustela erminea","Ermine","Mustela erminea","Mustela_erminea",284.5,2.454,"xmono",5,8.4,1.2,0.2,0.740264018,0.540264018,0.213560321,9.20379,"mammal"
"Ethiopian wolf, Canis simensis","Ethiopian wolf","Canis simensis","Canis_simensis",14361.86,4.157,"mono",12,4.7,1.3,0.333,0.672515549,0.339515549,0.332816782,5.676695833,"mammal"
"Eurasian badger, Meles meles","Eurasian badger","Meles meles","Meles_meles",11884.03,4.075,"xmono",174,2,1.4,0.396,0.424142339,0.028142339,0.597448945,3.606931839,"mammal"
"European edible dormouse, Glis glis","European edible dormouse","Glis glis","Glis_glis",135,2.13,"xmono",21,4.2,1.8,0.714,0.649613802,-0.064386198,0.45396906,5.546098571,"mammal"
"Gray fox, Urocyon cinereoargenteus","Gray fox","Urocyon cinereoargenteus","Urocyon_cinereoargenteus",3833.71,3.584,"mono",7,3.3,1.1,0.143,0.618638014,0.475638014,0.545601417,4.227278571,"mammal"
"Gray mouse lemur, Microcebus murinus","Gray mouse lemur","Microcebus murinus","Microcebus_murinus",69,1.839,"xmono",26,2,1.7,0.654,0.424142339,-0.229857661,0.649248675,3.551189231,"mammal"
"Grey red-backed vole, Myodes rufocanus","Grey red-backed vole","Myodes rufocanus","Myodes_rufocanus",38.5,1.58546073,"xmono",215,4.3,1.2,0.233,0.653751489,0.420751489,0.374049667,5.501027442,"mammal"
"Guadeloupe racoon, Procyon lotor","Guadeloupe racoon","Procyon lotor","Procyon_lotor",6373.72,3.804,"xmono",8,4,1.9,0.875,0.64563761,-0.22936239,0.459139572,5.48904875,"mammal"
"Honey possum, Tarsipes rostratus","Honey possum","Tarsipes rostratus","Tarsipes_rostratus",9.66,0.985,"xmono",5,2.4,2,1,0.50916519,-0.49083481,0.584751411,3.560384,"mammal"
"House mouse, Mus musculus","House mouse","Mus musculus","Mus_musculus",19.3,1.286,"xmono",146,4.1,1.4,0.336,0.647552296,0.311552296,0.340493289,6.011141886,"mammal"
"House mouse, Mus musculus","House mouse","Mus musculus","Mus_musculus",19.3,1.286,"xmono",143,5.6,1.2,0.203,0.715878424,0.512878424,0.340493289,6.011141886,"mammal"
"Large treeshrew, Tupaia tana","Large treeshrew","Tupaia tana","Tupaia_tana",182.33,2.261,"xmono",9,2,1.3,0.333,0.424142339,0.091142339,0.553405694,3.554935556,"mammal"
"Mouflon, Ovis aries","Mouflon","Ovis aries","Ovis_aries",39097.89,4.592,"xmono",80,2,1.7,0.738,0.424142339,-0.313857661,0.636814815,3.580429125,"mammal"
